x	y	z	name	time	head	stat	flag
200409	184488	18.62	000001	0	19.88	1	3
199463	186424	17.16	000002	0	19.53	1	3
199547	186687	16.28	000003	0	18.89	1	3
199614	186892	17.99	000004	0	18.52	1	3
199635	186932	NA	000005	0	18.67	1	3
201002	185549	18.2	000006	0	19.75	1	3
200729	185506	18.1	000007	0	19.5	1	3
200403	185618	18.02	000008	0	19.12	1	3
221007	196597	69.31	000009	0	69.85	1	3
201320	185975	19.49	000010	0	20.04	1	3
201320	185975	18.81	000011	0	19.99	1	3
211110.28	193501.69	26.18	000012	0	31.48	1	3
211110.28	193501.69	12.68	000013	0	31.48	1	3
202685	184487	-44.99	000014	0	19.27	1	3
202685	184487	-63.99	000015	0	19.61	1	3
222860.16	197829.99	66.3	000016	0	70.37	1	3
222860.16	197829.99	49.3	000017	0	68.88	1	3
222860.16	197829.99	42.55	000018	0	68.54	1	3
220591.12	199321.19	54.02	000019	0	65.07	1	3
220591.12	199321.19	48.27	000020	0	63.29	1	3
220591.12	199321.19	62.72	000021	0	65.06	1	3
210786.47	195046.87	23.71	000022	0	32.53	1	3
210786.47	195046.87	15.46	000023	0	32.53	1	3
210786.47	195046.87	29.96	000024	0	32.54	1	3
214299.27	195183.48	37.07	000025	0	41.32	1	3
214299.27	195183.48	17.82	000026	0	41.3	1	3
214299.27	195183.48	13.82	000027	0	41.3	1	3
208191.5	193322.8	26.57	000028	0	28.63	1	3
208191.5	193322.8	18.52	000029	0	28.62	1	3
208191.5	193322.8	11.32	000030	0	28.61	1	3
207687.44	191822.74	18.62	000031	0	27.05	1	3
207687.44	191822.74	11.62	000032	0	27.04	1	3
202220.7	184068.4	14.03	000033	0	20.56	1	3
202220.7	184068.4	11.78	000034	0	20.54	1	3
202220.7	184068.4	19.28	000035	0	20.88	1	3
205714.34	187872.5	19.21	000036	0	23.07	1	3
205714.34	187872.5	14.46	000037	0	23.08	1	3
205714.34	187872.5	6.46	000038	0	23.05	1	3
206053.67	188963.36	12.32	000039	0	23.65	1	3
206053.67	188963.36	5.32	000040	0	23.65	1	3
206053.67	188963.36	21.07	000041	0	23.65	1	3
202390.03	186134.07	18.31	000042	0	20.91	1	3
202390.03	186134.07	9.06	000043	0	20.78	1	3
202390.03	186134.07	4.06	000044	0	20.78	1	3
202984.61	188333.67	22.73	000045	0	25.46	1	3
202984.61	188333.67	15.48	000046	0	25.26	1	3
202984.61	188333.67	5.48	000047	0	25.21	1	3
205212.37	189246.73	19.6	000048	0	25.09	1	3
205212.37	189246.73	16.35	000049	0	25.09	1	3
205212.37	189246.73	12.35	000050	0	25.1	1	3
206742.36	187645.84	16.17	000051	0	25.36	1	3
206742.36	187645.84	6.17	000052	0	25.35	1	3
206742.36	187645.84	23.42	000053	0	25.43	1	3
209408.56	190339.24	24.88	000054	0	27.03	1	3
209408.56	190339.24	20.63	000055	0	27.03	1	3
214472	196742	41.55	000056	0	42.67	1	3
214411	196862	41.08	000057	0	42.26	1	3
214347	196972	40.94	000058	0	42.26	1	3
211750	190688	-181.99	000059	0	21.75	1	3
211754	190688	5.51	000060	0	30.48	1	3
211754	190688	-98.49	000061	0	14.34	1	3
216202.71	196734.08	NA	000062	0	50.81	1	3
216202.71	196734.08	NA	000063	0	50.34	1	3
216202.71	196734.08	NA	000064	0	50.32	1	3
201583	184611	18.14	000065	0	19.87	1	3
201744	184514	18.91	000066	0	19.88	1	3
202070	184530	18.35	000067	0	20.09	1	3
201885	184397	17.9	000068	0	19.88	1	3
201500	184684	18.35	000069	0	19.67	1	3
217189	195295	52.52	000070	0	52.68	1	3
217169	195326	51.94	000071	0	52.21	1	3
217150	195352	51.37	000072	0	51.73	1	3
217138	195370	51.23	000073	0	51.97	1	3
216253	194635	45.55	000074	0	46.17	1	3
216279	194564	45.46	000075	0	45.64	1	3
212986	193133	31.28	000076	0	32.54	1	3
212972	193185	30.97	000077	0	32.85	1	3
212964	193238	32.02	000078	0	32.8	1	3
212953	193285	31.75	000079	0	32.78	1	3
216505	198076	50.73	000080	0	51.8	1	3
215043	197330	43.51	000081	0	44.9	1	3
215043	197320	43.61	000082	0	45.16	1	3
215079	197296	45.02	000083	0	45.71	1	3
215411	197466	45.01	000084	0	45.9	1	3
215408	197476	45.53	000085	0	46.44	1	3
215405	197491	46.29	000086	0	46.76	1	3
215402	197511	46.45	000087	0	47.02	1	3
216463	198293	49.59	000088	0	51.58	1	3
216442	198331	51.27	000089	0	52.01	1	3
216880	198160	53.85	000090	0	54.49	1	3
214375	196918	41.08	000091	0	41.59	1	3
214389	196897	40.66	000092	0	41.59	1	3
215108	197281	44.83	000093	0	45.87	1	3
215197	197055	44.85	000094	0	46.79	1	3
215153	197166	44.25	000095	0	45.92	1	3
215498	197301	46.47	000096	0	47.63	1	3
215449	197397	45.96	000097	0	47.07	1	3
216171	197645	52.3	000098	0	51.64	1	3
216112	197834	49.98	000099	0	51.1	1	3
216069	197954	48.81	000100	0	50.18	1	3
216062	197987	48.25	000101	0	50	1	3
215979	198071	48.33	000102	0	50.23	1	3
215948	198145	49.91	000103	0	50.38	1	3
215913	198205	49.44	000104	0	49.96	1	3
217658	197918	60.77	000105	0	61.4	1	3
217644	197912	60.98	000106	0	61.31	1	3
217567	198171	53.21	000107	0	56.04	1	3
217514	198365	54.18	000108	0	55.06	1	3
217471	198388	53.97	000109	0	55.09	1	3
217477	198437	53.9	000110	0	54.89	1	3
217451	198476	54.14	000111	0	54.73	1	3
217382	198507	53.44	000112	0	54.07	1	3
217426	198255	54.67	000113	0	55.4	1	3
217428	198311	53.96	000114	0	55.07	1	3
217424	198368	54.09	000115	0	54.83	1	3
217388	198404	53.44	000116	0	54.3	1	3
217378	198459	53.38	000117	0	54.37	1	3
217366	198546	53.34	000118	0	53.88	1	3
217267	198554	52.9	000119	0	53.69	1	3
217274	198514	52.99	000120	0	53.49	1	3
217263	198460	53.24	000121	0	53.68	1	3
217266	198420	53.28	000122	0	53.99	1	3
217314	198386	53.6	000123	0	54.28	1	3
217382	198507	50.75	000124	0	54.14	1	3
217477	198438	51.53	000125	0	54.86	1	3
217316	198329	53.39	000126	0	54.26	1	3
217320	198272	53.68	000127	0	54.89	1	3
217204	198306	52.94	000128	0	54.32	1	3
217199	198367	52.65	000129	0	53.77	1	3
217068	198393	51.72	000130	0	53.6	1	3
217058	198439	51.99	000131	0	53.71	1	3
217030	198496	NA	000132	0	53.85	1	3
217154	198541	51.26	000133	0	53.55	1	3
216880	198530	51.71	000134	0	52.97	1	3
216900	198458	51.82	000135	0	53.25	1	3
216925	198379	51.15	000136	0	53.25	1	3
216965	198300	52.27	000137	0	53.03	1	3
216969	198254	51.9	000138	0	53.33	1	3
216589	198215	50.42	000139	0	51.76	1	3
216584	198269	50.58	000140	0	51.83	1	3
216947	198063	56.43	000141	0	57.04	1	3
216851	198162	52.26	000142	0	53.81	1	3
216785	198435	50.56	000143	0	52.17	1	3
216753	198160	51.48	000144	0	53.07	1	3
216729	198210	50.61	000145	0	52.39	1	3
216583	198160	50.06	000146	0	52.08	1	3
217184	198435	51.89	000147	0	53.4	1	3
217036	198569	NA	000148	0	54.41	1	3
217079	198340	51.75	000149	0	53.73	1	3
216826	198345	49.77	000150	0	52.73	1	3
